,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,276.1663663,acioa edulis,123.2159489,2014,1900,152.9504174,114,1.341670328,0.28115307,0.187485099,-0.067012445,0.696624067,year_s,last,4867.07306,3710.120416,0.684273568,0.195482968,,240.5890923,227,3.505447566,2.722100373
2,310.8726645,attalea eichleri,220.5412018,2018,1839,90.33146275,179,0.504645043,0.234009501,0.190838331,-0.033829921,0.651198777,year_s,last,,,,,,,,,
3,142.3416017,bactris chaveziae,117.8765371,2009,1976,24.46506455,33,0.741365592,0.268537903,1.524007111,-2.221221806,3.06735521,year_s,last,,,,,,,,,
4,195.2279545,calycophyllum spruceanum,143.5316466,2020,1850,51.69630788,170,0.304095929,-0.09555975,0.046787892,-0.188119584,-0.009585435,year_s,first,,,,,,,,,
5,210.2045013,ceiba pubiflora,127.8828323,2020,1888,82.32166898,132,0.623649007,-0.171715615,0.037155059,-0.245586338,-0.100260719,year_s,first,,,,,,,,,
6,252.9029737,ceiba glaziovii,249.3299171,2019,1869,3.573056616,150,0.023820377,-0.004889985,0.045205561,-0.0978138,0.082656323,year_s,first,,,,,,,,,
7,233.8983775,ceiba erianthos,167.2887116,2019,1831,66.60966586,188,0.354306733,-0.121620508,0.052982306,-0.231951111,-0.023859543,year_s,first,,,,,,,,,
8,215.4306775,ceiba samauma,36.18062598,2020,1830,179.2500516,190,0.943421324,-0.718176721,0.984551919,-2.245354677,2.073247142,year_s,first,,,,,,,,,
9,182.4609506,ceiba aesculifolia parvifolia,181.0310765,2014,1894,1.429874139,120,0.011915618,0.019635322,1.293662542,-2.365166443,2.393305539,year_s,last,,,,,,,,,
10,242.7913264,ceiba schottii,194.4512588,2018,1865,48.34006756,153,0.315948154,0.059951524,0.052823106,-0.032791782,0.17478624,year_s,last,,,,,,,,,
11,148.7702057,ceiba insignis,142.048011,2015,1900,6.722194628,115,0.058453866,-0.01403373,0.134544481,-0.274489439,0.26505846,year_s,first,,,,,,,,,
12,171.4295068,ceiba boliviana,112.5449384,2014,1860,58.88456843,154,0.382367327,-0.162798968,0.166017974,-0.527400516,0.122162342,year_s,first,,,,,,,,,
13,148.0029106,ceiba jasminodora,69.40070257,2019,1816,78.60220805,203,0.387202995,0.179593664,0.170784948,-0.072982707,0.581260331,year_s,last,,,,,,,,,
14,212.1430765,ceiba lupuna,30.18411904,2020,1855,181.9589574,165,1.10278156,0.446677896,0.335976485,-0.259415968,1.151189812,year_s,last,,,,,,,,,
15,141.8367057,ceiba ventricosa,122.2863341,2019,1900,19.55037164,119,0.164288837,-0.035409675,0.113088335,-0.261349114,0.185624473,year_s,first,,,,,,,,,
16,197.3341303,ceiba pendrandra,-18.84805841,2003,1835,216.1821887,168,1.286798743,0.885695276,0.265442194,0.44213218,1.533963348,year_s,last,,,,,,,,,
17,185.7979052,ceiba trischistandra,185.4874748,2006,1955,0.310430375,51,0.00608687,0.00100927,0.161218044,-0.323043952,0.330500222,year_s,last,,,,,,,,,
18,271.0734903,ceiba rubriflora,174.0565684,2019,1975,97.01692187,44,2.204930043,-0.252847091,0.121954321,-0.522665799,-0.05780115,year_s,first,,,,,,,,,
19,78.25543544,ceiba crispiflora,75.15299908,2020,1819,3.102436365,201,0.015435007,-0.012039195,0.363705002,-0.783817841,0.714541022,year_s,first,,,,,,,,,
20,132.706076,desmoncus giganteus,71.20242934,2004,1972,61.5036467,32,1.921988959,0.206723103,0.956239972,-1.808254813,1.952495325,year_s,last,,,,,,,,,
21,255.2317924,echinodorus grisebachii,201.4393143,2019,1849,53.79247804,170,0.316426341,-0.138739226,0.070258772,-0.278869515,-0.00534833,year_s,first,,,,,,,,,
22,179.2932155,erythroxylum tucuruiense,-61.43856523,2017,1948,240.7317807,69,3.488866387,-0.565846148,0.519134071,-1.236555409,1.339184966,year_s,first,,,,,,,,,
23,205.7764155,eucharis amazonica,195.1528077,2021,1898,10.62360785,123,0.086370796,0.065865405,0.919369702,-1.801485579,2.061169068,year_s,last,,,,,,,,,
24,176.0517129,euterpe catinga,47.95606452,2017,1929,128.0956484,88,1.455632368,-0.328365457,0.553791148,-2.377055597,0.147641709,year_s,first,,,,,,,,,
25,400.4776589,euterpe catinga catinga,276.9329666,1987,1925,123.5446923,62,1.992656328,-0.355735291,0.072929619,-0.508042688,-0.216089252,year_s,first,,,,,,,,,
26,222.9321806,euterpe precatoria longivaginata,29.78698238,2018,1760,193.1451982,258,0.748624799,0.615619281,0.608031824,-1.100055588,1.59786368,year_s,last,,,,,,,,,
27,306.0904976,fevillea pedatifolia,213.2206641,2013,1778,92.86983344,235,0.395190781,0.125799492,0.046425133,0.037480835,0.220671607,year_s,last,,,,,,,,,
28,378.8037179,leptochloa panicoides,222.1445689,2019,1791,156.659149,228,0.687101531,-0.277271052,0.028867508,-0.333775153,-0.222978782,year_s,first,,,,,,,,,
29,288.6515387,manihot baccata,87.82117701,2019,1904,200.8303617,115,1.746350971,0.432340299,0.171832371,0.125718169,0.787634119,year_s,last,,,,,,,,,
30,250.4853164,micrandropsis scleroxylon,219.7791157,2015,1945,30.70620072,70,0.43866001,0.051702235,0.127613681,-0.207974192,0.295384259,year_s,last,,,,,,,,,
31,288.6980763,nymphaea amazonum,172.1344793,2020,1816,116.563597,204,0.571390181,-0.261143865,0.163653009,-0.653663441,-0.00104511,year_s,first,,,,,,,,,
