,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,158.6051996,abarema cochliacarpos,145.0330387,2016,1963,13.57216094,53,0.256078508,0.051772673,0.991021537,-1.7537893,2.392893289,year_s,last,4423.532734,1996.557555,3.12229131,0.234116465,,298.2667267,182,7.213354074,2.749615984
2,79.77213431,aeschynomene martii,-26.49293937,2019,1906,106.2650737,113,0.940398882,0.223662433,0.189231833,-0.1449177,0.625729515,year_s,last,,,,,,,,,
3,264.7364325,ageratum conyzoides,85.27636699,2018,1979,179.4600656,39,4.601540142,0.676238388,0.389713073,-0.018728258,1.471523995,year_s,last,Mean,Median,Mode,Variance,SD,Range,,,
4,157.1292391,albizia polycephala,62.79932345,2015,1966,94.32991566,49,1.92510032,0.259029533,0.470573398,-0.894393966,1.147576169,year_s,last,1.755726353,1.063877496,#N/A,3.12229131,1.777874606,7.213354074,,,
5,267.4667772,anacardium occidentale,255.188681,2020,1980,12.2780962,40,0.306952405,-0.03449751,0.209560189,-0.260404862,0.22668674,year_s,first,,,,,,,,,
6,203.7456294,anadenanthera colubrina,41.13632547,2013,1838,162.6093039,175,0.929196022,-0.529024105,0.427878284,-1.360266517,0.482774986,year_s,first,,,,,,,,,
7,54.32385924,annona leptopetala,52.56413159,2019,1971,1.759727648,48,0.036660993,0.003931192,0.056782776,-0.107334685,0.116844654,year_s,last,,,,,,,,,
8,81.98345438,annona vepretorum,-124.4676809,2019,1906,206.4511353,113,1.827001197,0.481080014,0.187788882,0.162779321,0.884108594,year_s,last,,,,,,,,,
9,157.8423694,aristolochia birostris,117.5770757,2014,1981,40.26529372,33,1.220160416,0.099922481,0.999214527,-2.360171475,1.754573166,year_s,last,,,,,,,,,
10,305.6421899,aspidosperma pyrifolium,178.7073732,2016,1958,126.9348166,58,2.188531321,-0.434133498,0.940172593,-1.734252173,1.896265931,year_s,first,,,,,,,,,
11,169.9589296,barnebya harleyi,121.9044987,2017,1952,48.05443087,65,0.739298936,0.287852911,1.034696849,-1.73061609,2.374385476,year_s,last,,,,,,,,,
12,204.551428,bauhinia catingae,-37.30289732,2018,1906,241.8543254,112,2.159413619,-1.011962842,0.389182491,-1.854773377,-0.289525914,year_s,first,,,,,,,,,
13,284.9881328,blanchetiodendron blanchetii,261.2395668,2019,1828,23.74856605,191,0.124338042,0.008904771,1.063249502,-1.825083663,2.382676871,year_s,last,,,,,,,,,
14,73.46941261,caesalpinia ferrea,-24.58965421,1997,1869,98.05906682,128,0.76608646,0.244032106,0.134462352,0.041565802,0.568321601,year_s,last,,,,,,,,,
15,151.2261133,caesalpinia laxiflora,47.49752443,2018,1965,103.7285889,53,1.957143186,0.188472377,0.408442125,-0.755121545,0.861624877,year_s,last,,,,,,,,,
16,168.4050868,caesalpinia microphylla,125.0575899,2010,1907,43.34749686,103,0.420849484,0.251307924,1.201520569,-2.137476624,2.540921343,year_s,last,,,,,,,,,
17,115.5295052,caesalpinia pluviosa ,65.35969359,1997,1977,50.16981165,20,2.508490582,-0.112208594,0.063280082,-0.243206951,0.007638148,year_s,first,,,,,,,,,
18,106.4966967,caesalpinia pyramidalis,26.54904454,2006,1965,79.94765212,41,1.949942735,0.183017998,0.115146928,-0.037664324,0.410189498,year_s,last,,,,,,,,,
19,51.7158237,calliandra depauperata,33.01558572,2019,1970,18.70023797,49,0.38163751,0.043322341,0.093142084,-0.138526477,0.232441252,year_s,last,,,,,,,,,
20,197.403001,ceiba erianthos,158.4092486,2018,1994,38.99375241,24,1.624739684,-0.164725242,0.859206248,-1.972294502,1.621838542,year_s,first,,,,,,,,,
21,278.2804998,ceiba glaziovii,243.1069417,2018,1981,35.17355811,37,0.950636706,-0.079781602,0.075246121,-0.232003402,0.065828379,year_s,first,,,,,,,,,
22,91.25660321,celtis iguanaea,43.66151131,2019,1967,47.5950919,52,0.915290229,0.127658669,0.646406263,-1.378150465,1.421518473,year_s,last,,,,,,,,,
