,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,158.7504456,ancistrocladus korupensis,46.956816,2003,1987,111.7936296,16,6.987101852,0.6911419,1.206565666,-1.550699724,2.56519976,year_s,last,6789.415125,69.94387755,1489.325359,0.715377412,,256.1697677,28,144.4946837,3.114687636
2,405.5788708,anthonotha xanderi,156.7292406,2008,1988,248.8496302,20,12.44248151,1.661478372,0.542295448,0.737523155,2.882638956,year_s,last,,,,,,,,,
3,250.0122453,englerodendron korupense,104.8243547,2005,2004,145.1878906,1,145.1878906,-0.675986248,0.168597527,-1.04457946,-0.3932099,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,424.1701136,gilbertiodendron newberyi,238.0218468,2005,1984,186.1482668,21,8.86420318,-1.439051745,0.791435837,-2.671121952,0.751125266,year_s,first,25.37985542,7.925652516,#N/A,1489.325359,40.0485811,144.4946837,,,
5,314.2268088,gilbertiodendron ogoouense,188.1168791,2005,2000,126.1099297,5,25.22198593,0.609366153,0.458449059,-0.193693168,1.354182832,year_s,last,,,,,,,,,
6,119.2464068,gluema korupensis,77.21340407,2007,2005,42.03300268,2,21.01650134,0.073519494,0.973251804,-2.107501461,1.702491469,year_s,last,,,,,,,,,
7,56.83450934,hymenostegia viridiflora,-3.938252989,2008,1979,60.77276233,29,2.095612494,0.128251144,0.178069478,-0.119581755,0.472413932,year_s,last,,,,,,,,,
8,281.6941361,lecomtedoxa plumosa,52.29719026,2008,2005,229.3969458,3,76.46564861,-1.08635941,0.274206349,-1.722887121,-0.658335335,year_s,first,,,,,,,,,
9,116.2451423,memecylon viride,29.07199373,1997,1984,87.17314854,13,6.705626811,0.327940375,0.090086963,0.160781342,0.509822045,year_s,last,,,,,,,,,
10,161.7537558,psychotria alloantha,116.9339614,2001,1983,44.81979438,18,2.489988577,0.244041601,1.086304496,-1.867663516,2.14088445,year_s,last,,,,,,,,,
11,175.8662532,rinorea paniculata,122.2009371,1998,1983,53.66531606,15,3.577687738,0.224738967,0.933575511,-1.769291553,1.796793586,year_s,last,,,,,,,,,
12,206.4681335,talbotiella korupensis,101.5990015,2005,1984,104.869132,21,4.993768189,0.574346044,0.946958002,-1.626252662,2.172290981,year_s,last,,,,,,,,,
13,391.0156,talbotiella velutina,120.9816949,2007,2000,270.0339052,7,38.57627217,-1.453209264,0.411766883,-2.358209868,-0.74289402,year_s,first,,,,,,,,,
14,115.3088796,tetraberlinia korupensis,101.4447421,2004,1984,13.86413754,20,0.693206877,-0.147339647,0.939584791,-2.280406358,1.453082837,year_s,first,,,,,,,,,
