,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,206.9561103,aleurites moluccanus,144.5679975,1982,1967,62.38811283,15,4.159207522,0.282380366,0.665189609,-1.121043389,1.463757469,year_s,last,6858.180802,1010.6336,20.41363221,0.849417683,,296.806771,146,20.09242942,5.998451513
2,224.0076684,alstonia costata,72.46301936,1988,1838,151.544649,150,1.01029766,0.610651656,0.250854709,0.25632315,1.22133496,year_s,last,,,,,,,,,
3,245.7889433,alyxia stellata,165.5286639,1987,1983,80.26027935,4,20.06506984,-0.320682507,0.095192629,-0.51693606,-0.144875559,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,225.7791482,angiopteris evecta,60.76512208,1983,1931,165.0140261,52,3.173346656,0.794901997,0.296688999,0.32369587,1.527028692,year_s,last,3.869708848,2.551542331,#N/A,20.41363221,4.548570336,20.09242942,,,
5,239.5586395,antrophyum plantagineum,168.4612504,1988,1967,71.09738914,21,3.385589959,0.22759096,0.110662435,0.029367469,0.466015521,year_s,last,,,,,,,,,
6,181.4493304,artocarpus altilis,163.5574528,1990,1926,17.89187762,64,0.279560588,-0.023378574,0.587433653,-1.038270426,1.811775509,year_s,first,,,,,,,,,
7,302.2221144,asplenium tenerum,109.7088558,2003,1931,192.5132586,72,2.673795258,1.101186063,0.86583445,-1.127875359,2.328932734,year_s,last,,,,,,,,,
8,211.1834774,boehmeria virgata,210.2135356,1983,1967,0.96994176,16,0.06062136,-0.002841509,0.070775253,-0.138742363,0.140310633,year_s,first,,,,,,,,,
9,262.2535233,bolbitis lonchophora,193.9772486,1983,1921,68.27627475,62,1.101230238,-0.233918019,0.149487281,-0.560111274,0.039878915,year_s,first,,,,,,,,,
10,217.7737399,bulbophyllum longiflorum,24.85464414,1983,1921,192.9190957,62,3.111598318,0.82131572,0.115077042,0.62073308,1.067730289,year_s,last,,,,,,,,,
11,429.5961477,calophyllum inophyllum,172.5809593,1991,1962,257.0151884,29,8.862592702,-1.886768158,0.251019223,-2.410561636,-1.418727302,year_s,first,,,,,,,,,
12,164.5188374,cassytha filiformis,17.41624433,1991,1921,147.102593,70,2.101465615,0.678454858,0.074672975,0.536992506,0.831161642,year_s,last,,,,,,,,,
13,196.3352489,casuarina equisetifolia,175.0000221,1991,1921,21.33522683,70,0.304788955,-0.051226977,0.732251463,-0.900355877,1.268198922,year_s,first,,,,,,,,,
14,197.0232536,catharanthus roseus,167.4915409,1991,1981,29.53171276,10,2.953171276,-0.108481571,0.039963585,-0.188729029,-0.030057055,year_s,first,,,,,,,,,
15,181.8046448,cenchrus echinatus,-0.865127734,1991,1981,182.6697725,10,18.26697725,0.947247918,0.058999294,0.82997105,1.069823165,year_s,last,,,,,,,,,
16,275.8595112,centotheca lappacea,156.9087587,1988,1967,118.9507525,21,5.664321547,0.35266298,0.932920317,-2.376923298,1.68675714,year_s,last,,,,,,,,,
17,237.4497278,coffea arabica,199.241596,1987,1967,38.20813182,20,1.910406591,0.137542621,0.797585051,-1.668640596,1.729003774,year_s,last,,,,,,,,,
18,175.2759485,colubrina asiatica,74.85543577,1991,1962,100.4205127,29,3.462776301,0.367988124,0.164102736,0.136237229,0.61664865,year_s,last,,,,,,,,,
19,139.9758764,cordia subcordata,-98.34403737,1991,1922,238.3199138,69,3.453911794,1.922769427,0.692783549,-0.054574166,3.095580058,year_s,last,,,,,,,,,
20,190.7601283,cordyline fruticosa,178.2374334,2003,1967,12.52269497,36,0.347852638,-0.048704144,0.027260881,-0.103078335,0.004312834,year_s,first,,,,,,,,,
21,217.7170437,crepidium resupinatum,213.1543118,1983,1962,4.562731894,21,0.217272947,-0.011848127,0.022378358,-0.054236083,0.032053995,year_s,first,,,,,,,,,
22,260.2473783,crepidomanes bipunctatum,163.8774877,1988,1931,96.36989054,57,1.690699834,0.522358097,0.964031191,-1.534119587,1.923466925,year_s,last,,,,,,,,,
23,259.4683646,crossostylis biflora,139.3559789,1988,1973,120.1123858,15,8.007492384,0.314511281,0.086498015,0.153265703,0.495109697,year_s,last,,,,,,,,,
24,168.7650219,cyanthillium cinereum,-104.5872743,1991,1962,273.3522962,29,9.42594125,2.238009555,0.443117993,1.388405253,3.090420776,year_s,last,,,,,,,,,
25,205.7875707,cyclophyllum barbatum,205.0945636,1988,1955,0.693007095,33,0.021000215,-0.001356028,0.060464856,-0.115011465,0.122893657,year_s,first,,,,,,,,,
26,223.7947979,davallia solida,188.6952581,1991,1852,35.09953982,139,0.252514675,-0.085623517,0.375888787,-0.649179133,0.761396224,year_s,first,,,,,,,,,
27,177.5493829,decaspermum fruticosum,113.3528554,1987,1847,64.1965275,140,0.458546625,0.181590141,0.363298535,-0.85979441,0.729657645,year_s,last,,,,,,,,,
28,190.7115524,dodonaea viscosa,189.4168704,1990,1962,1.29468205,28,0.046238645,-0.002959802,0.11801928,-0.21963388,0.223658619,year_s,first,,,,,,,,,
29,195.2492948,elatostema sessile,9.788998279,1988,1962,185.4602965,26,7.133088327,-1.093777163,1.114535409,-2.698184772,1.650370031,year_s,first,,,,,,,,,
30,351.1543423,eleocharis geniculata,210.3603349,1988,1981,140.7940074,7,20.11342963,-0.5713314,0.222495398,-1.115955726,-0.244850689,year_s,first,,,,,,,,,
31,170.0012534,emilia forbergii,106.5445305,1991,1981,63.45672289,10,6.345672289,0.555461873,1.136696292,-1.012199126,2.528081699,year_s,last,,,,,,,,,
32,461.3997184,euphorbia atoto,196.9032621,1987,1969,264.4964564,18,14.69424758,-1.883294932,0.884103164,-3.46448742,-0.043416313,year_s,first,,,,,,,,,
33,440.6832929,euphorbia hirta,183.0450644,1991,1931,257.6382285,60,4.293970475,-3.279607586,1.319738451,-4.611922414,0.338944124,year_s,first,,,,,,,,,
34,198.7044994,geophila repens,175.7836898,1988,1967,22.92080959,21,1.091467123,0.057387461,0.036649245,-0.012572758,0.131611573,year_s,last,,,,,,,,,
35,194.9441865,glochidion grananum,152.140092,1987,1898,42.8040945,89,0.480944882,0.158233232,0.562886502,-1.36491986,1.297662697,year_s,last,,,,,,,,,
36,224.4236197,glochidion manono,147.8839594,1983,1962,76.53966027,21,3.644745727,0.215963394,0.173280841,-0.033499535,0.654902401,year_s,last,,,,,,,,,
37,282.2198027,grewia crenata,268.2015781,1988,1926,14.01822462,62,0.226100397,-0.067683484,0.429348606,-1.165176705,0.47806105,year_s,first,,,,,,,,,
38,332.4558513,guettarda speciosa,171.0117473,1991,1921,161.444104,70,2.306344344,-0.729507747,0.092401881,-0.924183306,-0.56025334,year_s,first,,,,,,,,,
39,324.4033678,hernandia nymphaeifolia,130.1425264,1991,1967,194.2608413,24,8.094201722,-0.730867573,0.223138836,-1.234694998,-0.366084552,year_s,first,,,,,,,,,
40,216.0406105,hibiscus filiaceus,177.8827625,1991,1967,38.15784804,24,1.589910335,-0.094786362,0.073111689,-0.262530167,0.032224286,year_s,first,,,,,,,,,
41,337.954471,ipomoea littoralis,172.3416393,1991,1962,165.6128318,29,5.710787302,-0.650619588,0.286649056,-1.306514717,-0.14514903,year_s,first,,,,,,,,,
42,221.5497649,ixora mooreensis,119.1792397,1987,1898,102.3705252,89,1.15023062,0.321961969,0.102129452,0.155043246,0.550741637,year_s,last,,,,,,,,,
43,409.2000845,lantana camara,170.3866999,1991,1960,238.8133846,31,7.703657569,-1.480402369,0.283216601,-2.055246712,-0.954615973,year_s,first,,,,,,,,,
44,272.3711428,lepinia taitensis,203.5226725,1995,1981,68.84847036,14,4.917747883,0.307134927,0.093599398,0.127052928,0.511750235,year_s,last,,,,,,,,,
45,176.4568697,lepturus repens,127.9116176,1991,1987,48.54525214,4,12.13631304,0.131824517,0.018772326,0.096308211,0.16974016,year_s,last,,,,,,,,,
46,234.4923762,lygodium reticulatum,227.6993554,1988,1981,6.7930208,7,0.970431543,0.058936932,0.875323781,-1.669145674,1.913831633,year_s,last,,,,,,,,,
47,237.7087342,metrosideros collina,146.6977353,1994,1867,91.01099899,127,0.716622039,0.178143262,0.185215241,-0.067892549,0.6185346,year_s,last,,,,,,,,,
48,194.4044853,morinda citrifolia,175.2599418,1991,1962,19.14454352,29,0.660156673,-0.061907413,0.032377465,-0.126858764,0.003224744,year_s,first,,,,,,,,,
49,238.6644108,nephrolepis hirsutula,175.3286682,1991,1967,63.33574257,24,2.638989274,-0.237016877,0.34604229,-1.260064862,0.106675742,year_s,first,,,,,,,,,
50,231.3338583,oberonia equitans,145.0813697,1988,1967,86.25248859,21,4.107261362,0.284755903,0.112989501,0.087003544,0.52590498,year_s,last,,,,,,,,,
51,360.0830291,pandanus tectorius,174.4198377,1991,1931,185.6631914,60,3.094386523,-0.887301722,0.127418156,-1.146964953,-0.656164731,year_s,first,,,,,,,,,
