,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,346.0112826,Abrus fruticulosus ,295.5002451,2005,1950,50.51103754,55,0.918382501,-0.163954439,0.083074823,-0.334817253,-0.007992288,year_s,first,4883.347379,783.4343418,22.43273125,0.482475288,,340.0167212,346,106.737061,7.02742199
2,277.1000184,Abutilon guineense,108.0889074,1994,1931,169.011111,63,2.682716047,-1.253352325,1.073128734,-2.876377065,0.657108414,year_s,first,,,,,,,,,
3,225.6570653,Abutilon mauritianum,100.917015,1996,1931,124.7400503,65,1.919077697,-0.939639068,1.13833639,-2.965741185,0.764309764,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,111.9896522,Acacia dudgeonii,64.10911819,2005,1936,47.88053399,69,0.693920782,-0.152130495,0.313803674,-0.519530661,0.314008133,year_s,first,2.75910984,1.609062129,#N/A,22.43273125,4.737715726,106.737061,,,
5,340.4438367,Acacia gourmaensis ,246.6260022,2006,1937,93.81783448,69,1.359678761,0.24333081,0.070650536,0.107173078,0.386131708,year_s,last,,,,,,,,,
6,250.634281,Acacia kamerunensis ,168.1689026,2003,1934,82.46537837,69,1.195150411,0.22885492,0.723024148,-1.763971739,1.068344716,year_s,last,,,,,,,,,
7,179.9507245,Acacia polyacantha ,114.4278047,1996,1925,65.52291979,71,0.922858025,0.196314851,0.588084226,-1.608667216,1.110930938,year_s,last,,,,,,,,,
8,34.24783211,Acacia sieberiana,23.72203639,2005,1929,10.52579572,76,0.138497312,-0.029731311,0.096632637,-0.234841553,0.149425621,year_s,first,,,,,,,,,
9,182.62287,Acalypha ciliata ,158.7190265,1995,1899,23.90384356,96,0.24899837,-0.187583302,1.006654573,-2.265493197,2.048527807,year_s,first,,,,,,,,,
10,234.9773135,Acanthospermum hispidum ,54.03544204,2005,1929,180.9418714,76,2.380814098,1.019974393,1.07253249,-1.453883225,2.817727102,year_s,last,,,,,,,,,
11,371.6745937,Acanthus guineensis,320.4716508,1995,1899,51.20294291,96,0.533363989,-0.098575748,0.047612383,-0.199000165,-0.010377337,year_s,first,,,,,,,,,
12,285.614485,Acridocarpus alternifolius,275.8755421,2003,1899,9.738942949,104,0.093643682,-0.024666826,0.080677504,-0.187214004,0.13303206,year_s,first,,,,,,,,,
13,299.7879314,Acridocarpus chevalieri ,7.167897081,2005,1956,292.6200343,49,5.971837435,-2.573189375,0.328243011,-3.246271368,-1.935900746,year_s,first,,,,,,,,,
14,50.35801092,Acridocarpus smeathmannii ,-26.20304351,2003,1900,76.56105443,103,0.743311208,-0.178174091,0.071314326,-0.328811142,-0.043553729,year_s,first,,,,,,,,,
15,308.7818215,Acroceras amplectens ,214.0098216,1972,1949,94.77199986,23,4.120521733,-0.187152078,0.10767223,-0.413429783,-0.000340705,year_s,first,,,,,,,,,
16,344.6092537,Acroceras zizanioides,274.6079037,1972,1954,70.00135,18,3.888963889,0.1749473,0.069250917,0.047569692,0.322032885,year_s,last,,,,,,,,,
17,111.4363926,Adenanthera pavonina ,73.38162605,1996,1900,38.05476655,96,0.396403818,0.100198712,0.107895239,-0.106185614,0.323154482,year_s,last,,,,,,,,,
18,216.9002237,Adenia cissampeloides,196.3404016,1995,1925,20.55982205,70,0.293711744,-0.050816632,0.127789892,-0.297837165,0.211184983,year_s,first,,,,,,,,,
19,131.5420863,Adenia lobata,-59.72826668,1999,1901,191.270353,98,1.951738296,-0.700033595,0.270639998,-1.28942361,-0.216035762,year_s,first,,,,,,,,,
20,135.8494393,Adenia rumicifolia ,71.6635178,1994,1934,64.18592146,60,1.069765358,0.180435399,0.070521701,0.043529657,0.316938192,year_s,last,,,,,,,,,
21,189.1359636,Adenium obesum ,20.80101452,2006,1925,168.3349491,81,2.078209248,-0.503435875,0.152078846,-0.83160834,-0.2353743,year_s,first,,,,,,,,,
22,428.8904816,Adenodolichos paniculatus ,217.6083669,1976,1936,211.2821147,40,5.282052867,-0.855017318,0.188257348,-1.259849738,-0.53371702,year_s,first,,,,,,,,,
23,280.8971708,Adhatoda maculata,135.4525283,1969,1900,145.4446426,69,2.10789337,0.46111166,0.206136769,0.170419972,0.990027851,year_s,last,,,,,,,,,
24,298.1808638,Adhatoda robusta ,274.1755067,1960,1900,24.00535702,60,0.400089284,0.079901284,0.061443357,-0.031843576,0.207407836,year_s,last,,,,,,,,,
25,227.0513414,Adiantum confine ,219.9641978,1972,1939,7.087143606,33,0.214761927,0.00671993,0.904095017,-1.743948382,1.956223463,year_s,last,,,,,,,,,
26,363.5300353,Adiantum incisum ,159.2128937,1970,1934,204.3171417,36,5.675476157,1.069116216,0.998064879,-1.143177894,2.891221904,year_s,last,,,,,,,,,
27,136.9760387,Adiantum philippense ,62.00563886,1996,1950,74.97039983,46,1.629791301,0.289577426,0.7350222,-1.440778631,1.194724103,year_s,last,,,,,,,,,
28,32.63970037,Adiantum vogelii ,23.86329881,2003,1929,8.77640156,74,0.118600021,0.022171638,0.234519108,-0.370506784,0.433151932,year_s,last,,,,,,,,,
29,206.7399814,Aedesia baumannii ,97.35824793,1968,1949,109.3817334,19,5.756933339,0.469162674,0.643377256,-0.824705842,1.459906702,year_s,last,,,,,,,,,
30,288.9773581,Aeollanthus pubescens ,285.710781,1997,1934,3.266577053,63,0.051850429,0.010981183,0.114498388,-0.218848017,0.231456968,year_s,last,,,,,,,,,
31,305.9028673,Aerangis biloba ,237.2679991,1995,1958,68.63486822,37,1.854996438,-0.332314811,1.819096458,-2.589045534,3.045252581,year_s,first,,,,,,,,,
32,373.8990512,Aerva lanata ,304.110009,1985,1899,69.78904222,86,0.811500491,0.176649892,0.307517947,-0.203571968,0.803791299,year_s,last,,,,,,,,,
33,353.951569,Aeschynomene afraspera ,185.3453296,1967,1950,168.6062394,17,9.918014083,-0.621496885,0.256702075,-1.246490058,-0.236440086,year_s,first,,,,,,,,,
34,218.4126336,Aeschynomene indica ,46.74650724,1996,1935,171.6661264,61,2.814198793,-0.796675448,0.839709176,-2.115615649,1.455487601,year_s,first,,,,,,,,,
35,352.1725864,Aeschynomene kerstingii ,181.2096894,1996,1953,170.962897,43,3.975881326,-0.756310086,0.156953135,-1.094002342,-0.49618584,year_s,first,,,,,,,,,
36,261.166741,Aframomum atewae,119.1530865,1974,1968,142.0136544,6,23.66894241,0.526447698,0.539358453,-0.923393027,1.297393066,year_s,last,,,,,,,,,
37,120.0847769,Aframomum chrysanthum,89.25919856,1999,1968,30.82557837,31,0.994373496,0.007859322,0.985768561,-2.114653195,1.314324718,year_s,last,,,,,,,,,
38,94.80645359,Aframomum geocarpum ,84.08291014,1972,1902,10.72354346,70,0.153193478,0.035821772,0.08774051,-0.134254113,0.214558096,year_s,last,,,,,,,,,
39,109.4942233,Aframomum sceptrum,33.48614763,1995,1934,76.00807572,61,1.246034028,0.20278399,0.45095851,-0.756247943,1.211935819,year_s,last,,,,,,,,,
40,99.10056643,Aframomum strobilaceum,51.01271275,1999,1957,48.08785369,42,1.144948897,-0.145199297,0.084483679,-0.316212414,0.015721137,year_s,first,,,,,,,,,
41,140.6423156,Aframomum sulcatum ,135.4016609,1972,1967,5.24065473,5,1.048130946,-0.066377908,0.987588324,-2.188799549,1.789175348,year_s,first,,,,,,,,,
42,378.9059189,Afrobrunnichia erecta,313.9799883,2003,1950,64.92593066,53,1.22501756,-0.195601129,0.086546696,-0.372888312,-0.02604792,year_s,first,,,,,,,,,
43,371.7769204,Afrostyrax lepidophyllus,279.9489449,1974,1952,91.82797553,22,4.173998888,0.337567249,0.052416857,0.241475439,0.446970022,year_s,last,,,,,,,,,
44,221.4524731,Afrotrilepis pilosa,174.1992293,1996,1930,47.25324376,66,0.715958239,0.003642445,0.902728916,-0.994302288,2.264945559,year_s,last,,,,,,,,,
45,76.40880439,Afzelia africana,-33.63255474,2006,1947,110.0413591,59,1.865107782,-0.34772752,0.111554577,-0.584368695,-0.149986888,year_s,first,,,,,,,,,
46,43.77068202,Aganope leucobotrya ,-73.24543621,2003,1967,117.0161182,36,3.250447729,-0.407710474,0.133325837,-0.720590406,-0.184646392,year_s,first,,,,,,,,,
47,170.5600578,Agelaea paradoxa,-53.51339773,2003,1925,224.0734555,78,2.872736609,-1.051695553,0.185051575,-1.455998187,-0.720878253,year_s,first,,,,,,,,,
48,356.7998606,Agelaea pentagyna ,292.5231587,2003,1900,64.27670189,103,0.624045649,0.150722307,0.10210926,-0.02812542,0.375894746,year_s,last,,,,,,,,,
49,158.9783205,Aidia genipiflora ,107.4368251,2003,1954,51.54149543,49,1.051867254,0.187913668,0.957246071,-1.867316313,1.703579595,year_s,last,,,,,,,,,
50,285.5447895,Airyantha schweinfurthii ,48.94555225,2003,1939,236.5992372,64,3.696863081,1.343878351,0.883934744,-1.511928862,2.631211625,year_s,last,,,,,,,,,
51,280.2242369,Alafia barteri ,-49.7506865,2003,1977,329.9749234,26,12.69134321,3.287417004,0.702830564,1.881597255,4.632867267,year_s,last,,,,,,,,,
52,331.7751551,Alafia scandens,264.4717944,1961,1901,67.30336066,60,1.121722678,-0.347267072,0.756776529,-2.462002423,0.740591249,year_s,first,,,,,,,,,
53,115.1427428,Alafia whytei ,27.93381063,2003,1971,87.20893218,32,2.725279131,-0.302392517,0.179929349,-0.651764978,0.012971942,year_s,first,,,,,,,,,
54,303.9166563,Albertisia cuneata ,280.687577,1971,1941,23.22907936,30,0.774302645,0.085905654,0.080922161,-0.076192189,0.254630789,year_s,last,,,,,,,,,
55,132.7517808,Albertisia ferruginea ,20.03026329,1972,1941,112.7215175,31,3.636177983,-0.472350342,0.050504714,-0.576898334,-0.373301794,year_s,first,,,,,,,,,
56,189.675654,Albertisia scandens ,132.2948129,2003,1955,57.38084115,48,1.195434191,0.228344865,0.277327985,-0.296107929,0.665869156,year_s,last,,,,,,,,,
57,138.2903947,Albizia adianthifolia ,-40.42888256,2005,1958,178.7192773,47,3.802537815,-0.674290967,0.32108811,-1.462664378,-0.228439737,year_s,first,,,,,,,,,
58,300.666519,Albizia glaberrima ,272.7500873,1996,1933,27.91643164,63,0.443117963,-0.008146584,0.691466366,-0.948678242,1.779478619,year_s,first,,,,,,,,,
59,75.15871635,Albizia zygia ,1.934412271,2006,1934,73.22430408,72,1.017004223,-0.252746095,0.152861874,-0.535029903,0.01101424,year_s,first,,,,,,,,,
60,101.0113448,Alchornea cordifolia ,-38.75628913,2003,1901,139.7676339,102,1.370270921,-0.458160155,0.168755062,-0.83604517,-0.162584909,year_s,first,,,,,,,,,
61,326.5219822,Alchornea floribunda ,205.9852881,2003,1967,120.5366941,36,3.348241502,0.6184123,0.882928013,-1.18485951,1.975555462,year_s,last,,,,,,,,,
62,321.1517065,Alectra sessiliflora ,316.5362929,1996,1956,4.61541356,40,0.115385339,0.016738033,0.077873067,-0.127962601,0.174326613,year_s,last,,,,,,,,,
63,250.0728158,Allamanda cathartica,225.3740754,1977,1931,24.69874038,46,0.536929139,-0.078417358,3.1503768,-4.633685929,3.638789427,year_s,first,,,,,,,,,
