,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,43.46023244,acridocarpus obovatus,14.70659421,1955,1898,28.75363823,57,0.504449793,0.107441276,0.512741724,-1.041523595,1.244078869,year_s,last,3643.742025,16303.62862,258.3940622,0.166055045,,288.2531567,962,102.5700122,2.633893883
2,365.6266143,acridocarpus spectabilis,237.1742507,1961,1899,128.4523635,62,2.071812315,0.568162455,0.661535328,-1.24040881,1.831184524,year_s,last,,,,,,,,,
3,299.4203664,adelostigma senegalense,291.7590208,2016,1898,7.661345571,118,0.064926657,0.017088426,0.06315836,-0.106688035,0.146624444,year_s,last,Mean,Median,Mode,Variance,SD,Range,,,
4,307.8644114,anadelphia leptocoma,285.8771658,2012,1907,21.98724567,105,0.20940234,-0.075794562,0.091699221,-0.262906359,0.101983808,year_s,first,5.380403913,0.823139837,#N/A,258.3940622,16.20375599,102.5700122,,,
5,188.0526002,angraecum distichum,-7.253542829,2014,1905,195.3061431,109,1.791799478,0.858914765,0.164559747,0.579786205,1.231166738,year_s,last,,,,,,,,,
6,325.2959722,anthonotha macrophylla,296.7806274,2020,1905,28.51534472,115,0.247959519,0.07208248,0.570686681,-1.627758205,1.142920147,year_s,last,,,,,,,,,
7,281.1145226,brachycorythis paucifolia,255.1563995,2012,1937,25.95812313,75,0.346108308,0.08028551,0.093822533,-0.094012557,0.270749195,year_s,last,,,,,,,,,
8,50.1839992,bulbophyllum cochleatum,2.850607847,2014,1907,47.33339135,107,0.442368143,0.20707544,0.251654203,-0.10542672,0.555134544,year_s,last,,,,,,,,,
9,287.5739759,bulbophyllum falcatum,262.2195308,2013,1958,25.35444511,55,0.460989911,-0.157562166,0.910211599,-2.468158538,0.992487771,year_s,first,,,,,,,,,
10,275.061776,burmannia latialata,176.1005218,1975,1860,98.96125423,115,0.860532645,0.45775599,0.924069612,-1.597745136,2.031691426,year_s,last,,,,,,,,,
11,121.1717858,calyptrochilum christyanum,86.09623131,2014,1899,35.07555444,115,0.305004821,-0.129358331,0.105663673,-0.348609714,0.078642045,year_s,first,,,,,,,,,
12,181.0496723,carapa procera,177.3743977,2020,2011,3.675274679,9,0.408363853,0.037247765,0.967802397,-1.805751106,2.126383141,year_s,last,,,,,,,,,
13,335.2453457,chidlowia sanguinea,292.0622615,2020,2012,43.1830842,8,5.397885525,0.252023553,0.897727379,-1.57663904,2.077037425,year_s,last,,,,,,,,,
14,296.4714008,chlorophytum inornatum,197.6946204,2012,1892,98.77678038,120,0.823139837,-0.433106438,0.807351144,-1.759913425,1.542072362,year_s,first,,,,,,,,,
15,86.3338146,craterispermum laurinum,-8.67163255,2019,1900,95.00544715,119,0.798365102,-0.288411583,0.235747494,-0.708839732,0.075404543,year_s,first,,,,,,,,,
16,262.9453682,cyanotis longifolia,93.23516823,2011,1965,169.7102,46,3.689352173,1.382219991,1.259055103,-2.323625849,3.206043139,year_s,last,,,,,,,,,
17,233.2244188,cyrtorchis ringens,107.2657318,2013,1949,125.958687,64,1.968104484,0.474008221,0.141230106,0.253688515,0.805122208,year_s,last,,,,,,,,,
18,283.7482115,diospyros cooperi,195.1162678,2020,2012,88.63194378,8,11.07899297,0.46557998,0.815879564,-1.225880659,2.096917364,year_s,last,,,,,,,,,
19,278.0107163,diospyros lotus,276.9966156,2020,2019,1.01410061,1,1.01410061,-0.062911641,0.914799129,-2.201530555,1.565718098,year_s,first,,,,,,,,,
20,408.836163,drypetes glauca,306.2180918,2020,2019,102.6180712,1,102.6180712,0.472819312,0.097082547,0.294394636,0.679099829,year_s,last,,,,,,,,,
21,359.8780813,eriocaulon latifolium,342.4520391,1962,1898,17.42604226,64,0.27228191,-0.049247212,0.353333723,-0.578760367,0.637192106,year_s,first,,,,,,,,,
22,325.7003233,eriocaulon plumale,270.9637229,2012,1907,54.73660046,105,0.521300957,-0.18791087,0.165421239,-0.567647114,0.087002462,year_s,first,,,,,,,,,
23,280.4404985,eriocaulon pulchellum,267.5569539,2012,1905,12.88354465,107,0.120406959,0.024265075,0.057948238,-0.087333819,0.139566965,year_s,last,,,,,,,,,
24,367.6845068,eriocaulon rufum,303.5938403,1956,1899,64.09066648,57,1.124397658,-0.193984164,0.033105093,-0.261764759,-0.12799464,year_s,first,,,,,,,,,
25,348.5897344,fissidens intramarginatus,176.5186511,1934,1902,172.0710833,32,5.377221353,0.870624131,0.614137977,-0.479372598,1.912104434,year_s,last,,,,,,,,,
26,376.0858601,funtumia africana,304.5354994,2020,1909,71.55036067,111,0.644597844,-0.244945824,0.872750267,-1.539939226,1.923042585,year_s,first,,,,,,,,,
27,242.9293069,garcinia kola heckel,240.2283793,2020,2019,2.700927592,1,2.700927592,0.085995069,0.917071035,-1.551917585,2.261315664,year_s,last,,,,,,,,,
28,314.0103269,geophila obvallata,253.5871717,2012,1906,60.42315513,106,0.570029765,-0.148817433,0.099049191,-0.345470886,0.031786723,year_s,first,,,,,,,,,
29,249.5878108,gloriosa superba,162.0357316,1990,1891,87.5520792,99,0.884364436,-0.363191146,0.923315811,-1.775735408,1.829983978,year_s,first,,,,,,,,,
30,328.8199933,greenwayodendron oliveri,310.8676216,2020,2011,17.9523717,9,1.994707967,0.064433967,0.144707652,-0.209103641,0.363941931,year_s,last,,,,,,,,,
31,244.373441,guibourtia copallifera,185.6146422,2021,1837,58.75879876,184,0.319341298,-0.245661137,0.939310155,-2.113099308,1.699935974,year_s,first,,,,,,,,,
