,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,342.0075147,abuta grandifolia,135.554865,2006,1978,206.4526497,28,7.37330892,1.285185827,0.933286754,-0.991062973,2.636029056,year_s,last,3699.765096,207.2818062,31.48823591,0.310442861,,289.7299969,83,43.66256211,4.296064898
2,250.5487776,acalypha cuneata,217.5716818,1988,1985,32.97709583,3,10.99236528,0.092614622,0.743568806,-1.885783786,1.64919913,year_s,last,,,,,,,,,
3,292.4563182,acalypha diversifolia,200.1898405,2005,1980,92.26647765,25,3.690659106,-0.514144009,1.197822546,-2.52689068,1.728165679,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,289.4516776,aciotis purpurascens,200.0615397,1997,1982,89.39013789,15,5.959342526,-0.843941478,1.246230158,-2.711445653,0.621412391,year_s,first,4.799472551,3.229332385,#N/A,31.48823591,5.626032095,43.66256211,,,
5,268.3597966,agouticarpa isernii,108.8136177,2007,1977,159.5461788,30,5.318205961,0.488539732,0.347621538,-0.148774807,1.176311226,year_s,last,,,,,,,,,
6,178.8571672,allophylus zeylanicus,153.9745937,1999,1988,24.88257351,11,2.262052137,-0.111306927,0.932546034,-1.87019466,1.888485062,year_s,first,,,,,,,,,
7,188.7912878,ampelocera longissima,74.33807978,2007,1986,114.453208,21,5.450152763,0.540789451,1.071998322,-1.885401116,2.272689328,year_s,last,,,,,,,,,
8,297.2165532,anaxagorea phaeocarpa,85.10059544,2002,1986,212.1159578,16,13.25724736,-1.318323003,0.873082727,-2.632967443,0.876288744,year_s,first,,,,,,,,,
9,67.04458616,annona papilionella,-34.72731189,2007,1986,101.771898,21,4.846280859,-0.286108585,0.212096424,-0.771549719,0.033162012,year_s,first,,,,,,,,,
10,88.00439044,anthurium apaporanum,-31.17717689,2015,1985,119.1815673,30,3.972718911,-0.547929895,0.915179599,-1.892169967,1.712359682,year_s,first,,,,,,,,,
11,245.1833358,anthurium breviscapum,58.3972856,2006,1940,186.7860502,66,2.83009167,-0.91086998,0.858667378,-2.461972134,1.188617709,year_s,first,,,,,,,,,
12,153.0903465,anthurium effusilobum,29.04165458,1995,1986,124.048692,9,13.78318799,-0.384927107,0.397372799,-1.082798063,0.454583924,year_s,first,,,,,,,,,
13,196.7773257,anthurium ernestii,28.17223871,2015,1978,168.605087,37,4.556894243,-0.954344128,0.974556845,-2.664704936,1.102432529,year_s,first,,,,,,,,,
14,51.87619271,anthurium obtusum,-39.91996369,2015,1986,91.79615639,29,3.165384703,-0.253500472,0.453255206,-0.843190691,0.921682292,year_s,first,,,,,,,,,
15,183.3188678,anthurium sagittatum,116.1390388,2005,1980,67.179829,25,2.68719316,-0.188219014,0.775510581,-1.444328858,1.94085755,year_s,first,,,,,,,,,
16,105.6725914,apeiba aspera,81.17215602,2003,1987,24.50043538,16,1.531277211,0.163276485,1.172257684,-2.029423486,2.109361813,year_s,last,,,,,,,,,
17,248.0371176,apeiba membranacea,61.88604399,2007,1986,186.1510736,21,8.864336837,0.978674525,0.854329069,-1.42100448,2.20875645,year_s,last,,,,,,,,,
18,274.7103172,banara guianensis,258.3944445,2003,1985,16.31587268,18,0.906437371,0.150131419,0.936911641,-1.573053465,2.276721397,year_s,last,,,,,,,,,
19,106.2160797,batocarpus orinocensis,29.25373458,2007,1985,76.96234512,22,3.498288415,-0.337062503,0.878863259,-1.961158797,1.701887757,year_s,first,,,,,,,,,
20,139.4948875,bauhinia tarapotensis,99.88964779,2012,1980,39.60523971,32,1.237663741,0.168868337,0.899501636,-1.714829572,2.028762768,year_s,last,,,,,,,,,
21,236.6493828,begonia maynensis,145.9816914,2005,1979,90.66769132,26,3.487218897,0.266499339,0.865469708,-1.669876545,1.543955532,year_s,last,,,,,,,,,
22,210.5579311,begonia rossmanniae,96.19766848,1997,1986,114.3602626,11,10.39638751,0.469872275,0.737199302,-1.338370249,1.820639378,year_s,last,,,,,,,,,
23,258.2890154,besleria aggregata,248.5786571,2005,1978,9.710358248,27,0.359642898,0.044299032,0.966304164,-1.848076786,1.922023222,year_s,last,,,,,,,,,
