,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,130.2132323,abies religiosa,-69.07554036,1953,1892,199.2887727,61,3.26702906,1.082175612,0.174633407,0.768472132,1.457682777,year_s,last,4304.375808,1208.828402,80.02466886,0.267694747,,310.9142208,122,50.72104532,4.331827935
2,149.2164861,abronia fragrans,110.0964263,1991,1893,39.12005978,98,0.399184283,-0.086156453,0.048245962,-0.199974637,-0.002080458,year_s,first,,,,,,,,,
3,365.1745191,aeschynomene americana,225.0683561,2009,1923,140.106163,86,1.629141431,-0.481504273,0.286954779,-1.198278488,-0.066658833,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,294.2512888,agrostis bourgaei,221.5920847,1983,1893,72.65920414,90,0.80732449,0.321781552,0.095390513,0.136861547,0.520276854,year_s,last,3.117016481,0.615251353,#N/A,80.02466886,9.032927544,50.72104532,,,
5,278.7359367,aristida adscensionis,273.6633849,2013,1893,5.072551825,120,0.042271265,0.014234339,0.09069204,-0.157332895,0.198567605,year_s,last,,,,,,,,,
6,230.557036,aristida purpurea,225.8551331,2013,1894,4.701902862,119,0.039511789,-0.012327403,0.122689096,-0.261442461,0.215249442,year_s,first,,,,,,,,,
7,261.7312797,aristida ternipes,251.9315792,2013,1894,9.799700464,119,0.082350424,0.087168945,0.506402866,-0.426344497,1.560407903,year_s,last,,,,,,,,,
8,157.7705349,astragalus allochrous,102.6333029,1979,1893,55.13723205,86,0.641130605,-0.209721466,0.056912743,-0.322854981,-0.099039599,year_s,first,,,,,,,,,
9,241.9986405,bahia absinthifolia,208.7983656,2012,1895,33.2002749,117,0.283763033,0.103087488,0.09913755,-0.091551694,0.304077645,year_s,last,,,,,,,,,
10,204.7134098,blechnum occidentale,189.7956589,2015,1940,14.9177509,75,0.198903345,0.063787599,0.975492708,-1.639553527,1.682793757,year_s,last,,,,,,,,,
11,232.7716955,boerhavia spicata,213.5490283,2011,1895,19.22266725,116,0.165712649,-0.041261902,0.12462566,-0.302252725,0.182237187,year_s,first,,,,,,,,,
12,238.4198244,bouvardia ternifolia,172.9721151,2002,1940,65.44770933,62,1.055608215,0.207459011,0.170758556,-0.074988613,0.600851114,year_s,last,,,,,,,,,
13,189.1915352,calathea crotalifera,119.6102061,2007,1960,69.58132905,47,1.48045381,-0.227476691,0.309858785,-0.682548351,0.415122238,year_s,first,,,,,,,,,
14,182.1801214,chilopsis linearis,176.2501068,2004,1892,5.930014567,112,0.052946559,0.020705175,0.07251009,-0.124195096,0.166651279,year_s,last,,,,,,,,,
15,250.3411375,chondrosum eriopodum,246.4987661,1983,1892,3.842371405,91,0.042223862,0.013275003,0.03906577,-0.064087578,0.091837241,year_s,last,,,,,,,,,
16,248.1504544,cinna poiformis,236.9900716,1982,1892,11.16038287,90,0.124004254,-0.030023849,0.050659397,-0.130971976,0.069708699,year_s,first,,,,,,,,,
17,277.0240564,croton pottsii,177.6023847,1983,1894,99.42167177,89,1.117097436,0.312671084,0.157384849,0.038609436,0.659219683,year_s,last,,,,,,,,,
18,19.56565336,cyathea acutidens,-6.882963879,2008,1982,26.44861724,26,1.017254509,0.083928398,0.019228773,0.046645974,0.122847741,year_s,last,,,,,,,,,
19,143.6859095,dimorphocarpa wislizenii,108.6009211,2006,1894,35.08498837,112,0.313258825,-0.117191642,0.517436902,-1.268305771,0.95422177,year_s,first,,,,,,,,,
20,133.200357,ephedra trifurca,123.9470709,1997,1895,9.253286069,102,0.090718491,-0.02649619,0.133745402,-0.291243266,0.228763603,year_s,first,,,,,,,,,
21,228.1091355,eriocaulon microcephalum,208.0887631,1976,1892,20.02037237,84,0.238337766,-0.065867058,0.030644263,-0.124698487,-0.003442755,year_s,first,,,,,,,,,
22,225.8575861,eriogonum aberteanum,142.4089557,2017,1894,83.44863032,123,0.678444149,-0.806573556,1.359622467,-3.825179278,0.208851536,year_s,first,,,,,,,,,
23,96.89048456,espeletia brachyaxiantha,66.03658911,1973,1972,30.85389544,1,30.85389544,0.11482765,0.014588883,0.087387736,0.144132198,year_s,last,,,,,,,,,
24,277.1258248,espeletia schultzii,175.6047105,1984,1982,101.5211142,2,50.76055711,0.351363518,0.108447505,0.14487416,0.584997018,year_s,last,,,,,,,,,
25,98.09335163,espeletiopsis muiska,67.53584611,1973,1972,30.55750552,1,30.55750552,0.129858008,0.070094449,-0.005253918,0.27206571,year_s,last,,,,,,,,,
26,163.1625501,euphorbia albomarginata,105.1984443,2010,1897,57.96410581,113,0.512956689,-0.083296675,0.586801462,-0.808037589,1.964976315,year_s,first,,,,,,,,,
27,180.3985814,fallugia paradoxa,127.5609155,1977,1892,52.83766581,85,0.621619598,-0.18051696,0.108059197,-0.404256072,0.02523403,year_s,first,,,,,,,,,
28,267.441758,ipomopsis longiflora,132.4386142,1993,1892,135.0031438,101,1.33666479,0.492553968,0.115173648,0.285521168,0.728401032,year_s,last,,,,,,,,,
29,235.7628119,juncus arcticus ,213.9740688,1983,1954,21.7887431,29,0.751335969,0.050179889,0.07829528,-0.105563465,0.198968052,year_s,last,,,,,,,,,
30,240.2152859,larrea tridentata,116.5806525,2013,1892,123.6346335,121,1.021773831,0.406991385,0.207679373,0.083921828,0.893992676,year_s,last,,,,,,,,,
31,289.6356948,lasianthaea fruticosa,246.3275441,2014,1971,43.30815072,43,1.007166296,-0.111191991,0.094547998,-0.310165144,0.060986044,year_s,first,,,,,,,,,
32,243.9770162,melampodium divaricatum,207.7774074,2004,1938,36.19960881,66,0.548478921,-0.102122445,0.196651677,-0.375778664,0.149643215,year_s,first,,,,,,,,,
33,213.1027355,nerisyrenia camporum,157.4650106,2016,1893,55.63772488,123,0.452339227,-0.167266092,0.441499919,-1.043731064,0.817474679,year_s,first,,,,,,,,,
34,233.4319328,penstemon gentianoides,229.9152893,1979,1896,3.516643541,83,0.042369199,0.010063657,0.093897758,-0.193746032,0.18390899,year_s,last,,,,,,,,,
35,265.1541246,physalis orizabae,186.5786097,1982,1899,78.57551483,83,0.94669295,-0.187139421,0.08915774,-0.406770334,-0.05299634,year_s,first,,,,,,,,,
36,186.7466095,piper sagittifolium,128.7655394,2007,1967,57.98107015,40,1.449526754,-0.435899039,1.258985993,-2.563853085,1.94589216,year_s,first,,,,,,,,,
37,282.5326422,pisonia macranthocarpa,277.425819,1988,1972,5.106823221,16,0.319176451,-0.012856218,0.064204873,-0.143910429,0.108237074,year_s,first,,,,,,,,,
38,218.6069734,polemonium foliosissimum,209.2629691,1948,1892,9.344004316,56,0.16685722,0.028478338,0.089710036,-0.153692579,0.208260492,year_s,last,,,,,,,,,
39,229.0446909,polystichum speciosissimum,224.3384734,1982,1892,4.706217425,90,0.052291305,-0.013803332,0.013696221,-0.041797409,0.013178347,year_s,first,,,,,,,,,
40,236.7485065,potentilla rubra,215.4375978,1967,1932,21.31090875,35,0.608883107,-0.030614646,0.553326044,-0.672813464,1.848356694,year_s,first,,,,,,,,,
41,347.2555752,quercus crassifolia,237.2789798,1990,1933,109.9765954,57,1.929413954,-0.532363605,0.935952303,-2.054271683,1.893597729,year_s,first,,,,,,,,,
42,279.706669,quercus obtusata,34.46395023,1987,1964,245.2427188,23,10.6627269,1.762162991,0.65004864,0.376207462,2.922325245,year_s,last,,,,,,,,,
43,339.562185,randia tetracantha,199.0779775,2014,1939,140.4842075,75,1.873122767,-0.258070647,0.10377924,-0.477252144,-0.064111985,year_s,first,,,,,,,,,
44,163.8940605,rhus microphylla,158.7266512,1997,1889,5.167409285,108,0.047846382,0.010585309,0.225908585,-0.348324202,0.400183816,year_s,last,,,,,,,,,
45,310.235526,selaginella diffusa,-4.19533831,2019,1974,314.4308643,45,6.98735254,-2.569664944,0.529603079,-3.670771865,-1.622781139,year_s,first,,,,,,,,,
46,242.0477958,senecio multidentatus,210.4440571,1980,1892,31.60373868,88,0.359133394,-0.102352283,0.050165151,-0.203762635,-0.006774384,year_s,first,,,,,,,,,
47,224.6600599,senna bauhinioides,196.2511439,2006,1895,28.408916,111,0.25593618,0.09142077,0.065051132,-0.034914103,0.22342838,year_s,last,,,,,,,,,
48,245.6882089,sphaeralcea digitata,200.5411023,1933,1894,45.1471066,39,1.157618118,0.324794629,1.000638824,-1.584124383,2.334957835,year_s,last,,,,,,,,,
49,180.8794109,sphaeralcea hastulata,140.4906266,1979,1933,40.38878434,46,0.878017051,0.132084231,0.118793131,-0.083317268,0.3759101,year_s,last,,,,,,,,,
50,227.2500668,tauschia nudicaulis,170.3525891,1990,1892,56.89747776,98,0.580586508,-0.195920856,0.074055379,-0.345712129,-0.053724291,year_s,first,,,,,,,,,
51,277.3659777,turnera diffusa,194.7970862,2013,1949,82.56889152,64,1.29013893,-0.624738113,1.26689086,-2.780471211,1.554893121,year_s,first,,,,,,,,,
52,244.7796572,valeriana densiflora,225.0316051,1961,1892,19.74805208,69,0.286203653,-0.053919744,0.034762746,-0.125053207,0.011094319,year_s,first,,,,,,,,,
