,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,389.3533872,brachystegia spiciformis,213.323911,2011,1991,176.0294762,20,8.801473809,-0.675967409,0.214765775,-1.155949943,-0.313524679,year_s,first,3608.082925,150.4636678,25.34935291,0.185726792,,165.7333124,34,17.20060642,1.63197397
2,347.68622,chlorophytum blepharophyllum,320.8769093,2007,1970,26.80931074,37,0.724575966,-0.071578985,0.08934071,-0.244749987,0.118356292,year_s,first,,,,,,,,,
3,63.92622917,chlorophytum inornatum,45.13197595,2006,1995,18.79425322,11,1.708568475,-0.076092483,0.452856528,-1.061837916,0.746430503,year_s,first,Mean,Median,Mode,Variance,SD,Range,,,
4,195.6884238,combretum collinum,85.52899897,2001,1993,110.1594248,8,13.7699281,0.775932598,1.0469885,-1.314964084,2.307187633,year_s,last,5.185236728,3.12676967,#N/A,25.34935291,5.189767574,17.20060642,,,
5,233.9130645,combretum molle,126.2640662,2011,1971,107.6489983,40,2.691224957,0.827711387,1.459921879,-1.922932128,3.426472846,year_s,last,,,,,,,,,
6,222.968107,combretum zeyheri,44.64938083,2004,1991,178.3187261,13,13.71682509,0.694352873,0.65573672,-0.892139213,1.885024479,year_s,last,,,,,,,,,
7,134.4732421,commiphora mossambicensis,-40.65671298,2003,1993,175.1299551,10,17.51299551,0.765497355,0.805382693,-1.42189578,2.122440953,year_s,last,,,,,,,,,
8,294.2990471,dalbergia boehmii,250.7843766,2010,1998,43.51467055,12,3.626222546,-0.105237175,0.457981327,-0.947427964,1.06692267,year_s,first,,,,,,,,,
9,193.7917869,hypoestes forskaolii,119.5272717,2009,1984,74.26451523,25,2.970580609,0.209167308,0.072204138,0.070321249,0.358112905,year_s,last,,,,,,,,,
10,204.1812001,julbernardia globiflora,116.1602491,2011,1991,88.02095107,20,4.401047554,0.191503246,0.153710669,-0.085998635,0.538004109,year_s,last,,,,,,,,,
11,283.8754865,multidentia crassa,200.6787841,2008,1970,83.19670247,38,2.189386907,-0.176873459,0.932187388,-1.562555548,2.204660886,year_s,first,,,,,,,,,
12,87.02362838,pavetta gardeniifolia,62.00947102,2001,1993,25.01415736,8,3.12676967,0.045559628,0.700432024,-1.958159252,1.411213142,year_s,last,,,,,,,,,
13,154.2619943,pavetta schumanniana,141.6765806,2009,1991,12.58541369,18,0.699189649,0.04370269,0.943102882,-1.874863581,1.918031817,year_s,last,,,,,,,,,
14,341.0995017,pseudolachnostylis maprouneifolia,279.6929312,2005,1991,61.40657049,14,4.386183607,-0.064166761,0.766169203,-0.866703153,2.563733452,year_s,first,,,,,,,,,
15,245.8689428,rothmannia engleriana,188.5809875,2013,1971,57.28795531,42,1.363998936,0.215771195,0.917126772,-1.855464889,1.876080521,year_s,last,,,,,,,,,
16,333.9753764,rourea orientalis,320.8550346,2008,1966,13.12034183,42,0.312389091,0.035430685,0.08163997,-0.124729119,0.197972359,year_s,last,,,,,,,,,
17,248.2850286,vangueria infausta,82.29810342,2004,1977,165.9869252,27,6.147663898,0.956006561,1.131242516,-1.671147289,2.657266287,year_s,last,,,,,,,,,
