,maxs,Species,mins,YearsMax,YearsMin,DaysChange,YearSpan,DaysPerYear,Estimate,SD,LB,UB,Effects,sign,Var DaysChange,VarYears,VarDaysperyear,VarSlope,,RangeDaysChange,RangeYears,RangeDaysperYear,RangeSlope
1,67.54597163,acacia catechu,-2.392128856,1961,1890,69.93810048,71,0.985043669,0.247332784,0.250209828,-0.166683355,0.798247757,year_s,last,5534.533719,105020.0987,53.11534302,0.291451403,,304.2356713,2026,54.47144891,2.622813008
2,362.5566937,angiopteris helferiana,263.0319943,2017,1938,99.52469937,79,1.259806321,-0.430538402,0.767283647,-1.915606299,1.507431335,year_s,first,,,,,,,,,
3,54.12046911,anogeissus acuminata,2.017987428,2014,1826,52.10248168,188,0.27714086,0.156923508,0.050097446,0.061862767,0.257579846,year_s,last,Mean,Median,Mode,Variance,SD,Range,,,
4,270.4574924,blechnum orientale,215.6888529,2017,1827,54.76863951,190,0.288255997,0.627097154,1.360346953,-1.113596558,2.74168728,year_s,last,2.1105413,0.652604584,#N/A,53.11534302,7.341420231,54.47144891,,,
5,23.45187716,castanopsis tribuloides,11.92133261,2015,1888,11.53054454,127,0.090791689,0.032218084,0.101512539,-0.161769623,0.236323904,year_s,last,,,,,,,,,
6,360.9695679,cichorium intybus,212.63757,2025,0,148.3319979,2025,0.073250369,-0.159068463,0.02484175,-0.211334047,-0.112534161,year_s,first,,,,,,,,,
7,39.4167504,clerodendrum infortunatum,-6.332202223,2018,1797,45.74895262,221,0.207008835,0.077395584,0.081553715,-0.081299668,0.245293743,year_s,last,,,,,,,,,
8,113.7547595,cyathea gigantea,-36.27547612,2001,1827,150.0302356,174,0.862242733,0.478878734,0.08750926,0.319708364,0.660238516,year_s,last,,,,,,,,,
9,115.5006247,dendrocalamus membranaceus,-21.55411031,1971,1827,137.054735,144,0.951768993,0.326516732,0.133956229,0.102583708,0.641388029,year_s,last,,,,,,,,,
10,303.154623,dioscorea bulbifera,188.9521968,2014,1836,114.2024263,178,0.641586664,0.349282514,0.11055556,0.151027547,0.592611421,year_s,last,,,,,,,,,
11,344.9492804,dioscorea pentaphylla,298.6382007,2015,1826,46.31107971,189,0.245032168,-0.141189733,0.143731209,-0.429353281,0.120484761,year_s,first,,,,,,,,,
12,391.0419825,diplazium dilaltatum,284.4057127,2017,1922,106.6362698,95,1.122487051,-0.485352266,0.172030426,-0.850451704,-0.184256796,year_s,first,,,,,,,,,
13,281.160827,embelia floribunda,181.3072898,2017,1938,99.85353728,79,1.263968826,-0.538865062,0.965063941,-1.994854447,1.49239299,year_s,first,,,,,,,,,
14,56.3629932,engelhardia spicata,9.076002961,2017,1922,47.28699024,95,0.497757792,0.145116329,0.11164271,-0.050566382,0.398942817,year_s,last,,,,,,,,,
15,372.1519511,euonymus verrucosus,250.0915076,2017,1948,122.0604435,69,1.768991934,-0.95313753,1.045466001,-2.500976744,0.952173042,year_s,first,,,,,,,,,
16,283.9060184,fimbristylis dichotoma,227.7774656,2012,1908,56.12855278,104,0.539697623,-0.188944364,0.477699829,-1.311065532,0.648995873,year_s,first,,,,,,,,,
17,229.1529257,gaultheria semi-infera,104.3866148,2015,1953,124.7663109,62,2.012359853,0.793302383,1.390816338,-2.243115142,2.910028177,year_s,last,,,,,,,,,
18,172.237307,globba alba,166.4297796,2004,1998,5.8075274,6,0.967921233,-0.016084709,0.104127122,-0.225905405,0.194613245,year_s,first,,,,,,,,,
19,5.58437717,gluta usitata,1.54299499,1958,1827,4.04138218,131,0.030850246,0.015648067,0.099969314,-0.184422217,0.218870736,year_s,last,,,,,,,,,
20,126.0070911,glycosmis pentaphylla,40.63042296,2016,1821,85.37666819,195,0.437829068,0.304478854,0.474210913,-0.893786041,1.187400497,year_s,last,,,,,,,,,
21,256.7240014,hedyotis drymariodes,234.8084223,2014,1961,21.91557909,53,0.413501492,-0.148186681,1.100169735,-1.956996396,1.744057379,year_s,first,,,,,,,,,
22,140.0905932,holarrhena pubescens,-25.93776226,2016,1826,166.0283555,190,0.87383345,0.634550536,0.274163357,0.206732125,1.281501972,year_s,last,,,,,,,,,
23,105.0739994,homonoia riparia,68.01816038,2017,1862,37.05583902,155,0.239069929,0.015302449,1.044124534,-2.381445994,1.587205245,year_s,last,,,,,,,,,
24,44.5877721,hopea odorata,0.917011229,2016,1827,43.67076087,189,0.231062227,0.137938204,0.135770266,-0.128679816,0.415767202,year_s,last,,,,,,,,,
25,273.7176563,impatiens arguta,139.762419,2015,2000,133.9552373,15,8.930349155,0.509264217,0.131566875,0.268558296,0.791656513,year_s,last,,,,,,,,,
26,367.4859326,impatiens chinensis,284.3682245,2015,1826,83.11770809,189,0.439776233,-0.22467977,0.099249027,-0.436822325,-0.066157796,year_s,first,,,,,,,,,
27,330.8497054,lactuca sativa,119.0535633,1995,1857,211.7961421,138,1.534754653,-1.529513028,0.47175052,-2.557486519,-0.69156993,year_s,first,,,,,,,,,
28,188.3552943,lagerstroemia speciosa,36.47735544,2016,1826,151.8779389,190,0.799357573,0.67116444,0.731028365,-1.484839442,1.76028821,year_s,last,,,,,,,,,
29,137.9419118,lepisorus macrosphaerus,82.75646566,2006,1931,55.18544613,75,0.735805948,-0.508497914,1.046481715,-2.573874169,0.727334828,year_s,first,,,,,,,,,
30,396.7043777,limnocharis flava,142.6846669,2020,1840,254.0197109,180,1.411220616,-1.14889462,0.526361942,-1.986638675,0.446523941,year_s,first,,,,,,,,,
31,249.6257562,lonicera nigra,199.8979708,2005,2000,49.72778535,5,9.945557069,0.028794585,0.993878933,-2.319563086,1.39027692,year_s,last,,,,,,,,,
32,148.658129,lyonia ovalifolia,104.5158659,2014,1922,44.14226313,92,0.479807208,0.315448354,0.974919404,-1.538644901,2.506725605,year_s,last,,,,,,,,,
33,200.8570418,maesa lanceolata,199.5306676,2017,1938,1.326374233,79,0.016789547,-0.00114085,0.987774708,-1.943688028,1.993645122,year_s,first,,,,,,,,,
34,127.2166451,mallotus philippensis,115.1777447,2016,1890,12.03890042,126,0.095546829,-0.14588384,1.022802238,-2.268131616,1.344730311,year_s,first,,,,,,,,,
35,304.7200819,monochoria hastata,65.18810472,2010,1774,239.5319772,236,1.014966005,-1.656156442,0.965704189,-2.91970356,0.62757971,year_s,first,,,,,,,,,
36,166.1719911,myrsine semiserrata,145.1721842,2016,1939,20.99980692,77,0.272724765,0.053255546,1.065201947,-2.254048109,2.069456071,year_s,last,,,,,,,,,
37,423.6073735,nageia wallichiana,118.045328,2017,1838,305.5620455,179,1.707050534,-1.523548477,0.434536971,-2.422286626,-0.765697189,year_s,first,,,,,,,,,
38,80.4445703,nephelium hypoleucum,-105.8653309,1971,1836,186.3099012,135,1.380073342,0.568054132,0.196133374,0.21841148,0.995916292,year_s,last,,,,,,,,,
39,333.5852497,neptunia oleracea,158.9472685,2021,1828,174.6379812,193,0.904860006,-0.410200103,0.113959194,-0.656610625,-0.209802405,year_s,first,,,,,,,,,
